null	No.	OK	change	protein name	old
	6135		@	membrane bound oxidoreductase MbxM subunit	membrane bound hydrogenase MbxM subunit
	6136		@	membrane bound oxidoreductase MbxN subunit	"Membrane bound oxidoreductase, MbxN subunit"
	6137			membrane protein CrgA	membrane protein CrgA
	6138			membrane protein DedA	membrane protein DedA
	6139			membrane protein DedA homolog	membrane protein DedA homolog
	6140		@	membrane protein insertase	inner membrane protein OxaA
	6141		@	membrane protein insertase	membrane protein OxaA precursor
	6142		@	membrane protein insertase	membrane protein OxaA1
	6143		@	membrane protein insertase YidC	inner membrane protein YidC
	6144			membrane protein insertion efficiency factor	membrane protein insertion efficiency factor
	6145			membrane-associated ATPase a subunit	membrane-associated ATPase a subunit
	6146			membrane-associated ATPase alpha subunit	membrane-associated ATPase alpha subunit
	6147			membrane-associated ATPase beta subunit	membrane-associated ATPase beta subunit
	6148			membrane-associated ATPase delta subunit	membrane-associated ATPase delta subunit
	6149			membrane-associated ATPase epsilon subunit	membrane-associated ATPase epsilon subunit
	6150			membrane-associated ATPase F subunit	membrane-associated ATPase F subunit
	6151			membrane-associated ATPase gamma subunit	membrane-associated ATPase gamma subunit
	6152			membrane-associated ATPase proteolipid subunit	membrane-associated ATPase proteolipid subunit
	6153		@	membrane-bound inorganic pyrophosphatase	pyrophosphate-energized inorganic pyrophosphatase
	6154			membrane-bound lytic murein transglycosylase	membrane-bound lytic murein transglycosylase
	6155			membrane-bound lytic murein transglycosylase A	membrane-bound lytic murein transglycosylase A
	6156			membrane-bound lytic murein transglycosylase B	membrane-bound lytic murein transglycosylase B
	6157		@	membrane-bound lytic murein transglycosylase B	membrane-bound lytic transglycosylase B
	6158			membrane-bound lytic murein transglycosylase C	membrane-bound lytic murein transglycosylase C
	6159			membrane-bound lytic murein transglycosylase D	membrane-bound lytic murein transglycosylase D
	6160			membrane-bound lytic murein transglycosylase E	membrane-bound lytic murein transglycosylase E
	6161			membrane-bound lytic murein transglycosylase F	membrane-bound lytic murein transglycosylase F
	6162		@	membrane-bound metallopeptidase	membrane-bound metalloprotease
	6163		@	menaquinol--cytochrome c reductase	menaquinol-cytochrome c reductase
