null	No.	OK	change	protein name	old
	3447			DNA polymerase	DNA polymerase
	3448		@	DNA polymerase	family B DNA polymerase
	3449			DNA polymerase I	DNA polymerase I
	3450		@	DNA polymerase I	family B DNA polymerase I
	3451			DNA polymerase II	DNA polymerase II
	3452		@	DNA polymerase II	DNA polymerase II (DNA polymerase B2)
	3453		@	DNA polymerase II	family B DNA polymerase II
	3454			DNA polymerase III alpha subunit	DNA polymerase III alpha subunit
	3455		@	DNA polymerase III alpha subunit	DNA polymerase III subunit alpha
	3456			DNA polymerase III beta subunit	DNA polymerase III beta subunit
	3457		@	DNA polymerase III beta subunit	DNA polymerase III subunit beta
	3458			DNA polymerase III chi subunit	DNA polymerase III chi subunit
	3459		@	DNA polymerase III chi subunit	DNA polymerase III subunit chi
	3460			DNA polymerase III delta subunit	DNA polymerase III delta subunit
	3461		@	DNA polymerase III delta subunit	DNA polymerase III subunit delta
	3462		@	DNA polymerase III delta' subunit	DNA polymerase III delta prime subunit
	3463			DNA polymerase III delta' subunit	DNA polymerase III delta' subunit
	3464		@	DNA polymerase III delta' subunit	DNA polymerase III subunit delta'
	3465			DNA polymerase III epsilon subunit	DNA polymerase III epsilon subunit
	3466		@	DNA polymerase III epsilon subunit	DNA polymerase III subunit epsilon
	3467		@	DNA polymerase III gamma/tau subunit	DNA polymerase III gamma and tau subunit
	3468		@	DNA polymerase III gamma/tau subunit	DNA polymerase III gamma and tau subunits
	3469			DNA polymerase III gamma/tau subunit	DNA polymerase III gamma/tau subunit
	3470		@	DNA polymerase III gamma/tau subunit	DNA polymerase III subunit gamma/tau
	3471		@	DNA polymerase III gamma/tau subunit	DNA polymerase III subunit tau/gamma
	3472		@	DNA polymerase III psi subunit	DNA polymerase III subunit psi
	3473			DNA polymerase III tau subunit	DNA polymerase III tau subunit
	3474		@	DNA polymerase III theta subunit	DNA polymerase III subunit theta
	3475			DNA polymerase IV	DNA polymerase IV
	3476			DNA polymerase sliding clamp	DNA polymerase sliding clamp
	3477			DNA polymerase sliding clamp A	DNA polymerase sliding clamp A
	3478		@	DNA polymerase sliding clamp A	DNA polymerase sliding clamp A (proliferating cell nuclear antigen homolog A) (PCNA A) (ApePCNA1)
	3479			DNA polymerase sliding clamp B	DNA polymerase sliding clamp B
	3480		@	DNA polymerase sliding clamp B1	DNA polymerase sliding clamp B1 (proliferating cell nuclear antigen homolog B1) (PCNA B1) (ApePCNA3)
	3481		@	DNA polymerase sliding clamp B2	DNA polymerase sliding clamp B2 (proliferating cell nuclear antigen homolog B2) (PCNA B2) (ApePCNA2)
	3482			DNA polymerase sliding clamp C	DNA polymerase sliding clamp C
	3483			DNA polymerase/3'-5' exonuclease	DNA polymerase/3'-5' exonuclease
	3484			DNA polymerase/3'-5' exonuclease PolX	DNA polymerase/3'-5' exonuclease PolX
	3485			DNA primase	DNA primase
	3486			DNA primase large subunit	DNA primase large subunit
	3487		@	DNA primase large subunit	DNA primase large subunit (DNA primase 46 kDa subunit) (p46)
	3488			DNA primase small subunit	DNA primase small subunit
	3489		@	DNA primase small subunit	DNA primase small subunit (DNA primase 41 kDa subunit) (p41)
	3490			DNA processing protein	DNA processing protein
	3491			DNA processing protein DprA	DNA processing protein DprA
	3492		@	DNA processing protein DprA	DNA protecting protein DprA
	3493			DNA processing protein DprA/Smf protein	DNA processing protein DprA/Smf protein
	3494			DNA protection during starvation protein	DNA protection during starvation protein
	3495			DNA recombination protein	DNA recombination protein
	3496			DNA recombination protein RmuC	DNA recombination protein RmuC
	3497			DNA repair helicase	DNA repair helicase
	3498		@	DNA repair helicase XPD	DNA repair helicase Rad3
	3499			DNA repair helicase XPD	DNA repair helicase XPD
	3500			DNA repair protein	DNA repair protein
	3501			DNA repair protein RadA	DNA repair protein RadA
	3502			DNA repair protein RadC	DNA repair protein RadC
	3503			DNA repair protein RecN	DNA repair protein RecN
	3504			DNA repair protein RecO	DNA repair protein RecO
	3505			DNA repair protein RecO family protein	DNA repair protein RecO family protein
	3506		@	DNA repair protein RecO family protein	recombination protein O RecO family protein
	3507		@	DNA repair/recombination protein RadA	DNA repair and recombination protein RadA
	3508		@	DNA repair/recombination protein RadB	DNA repair and recombination protein RadB
	3509		@	DNA replication helicase Dna2	DNA replication helicase Dna2Pho
	3510			DNA replication protein DnaC	DNA replication protein DnaC
	3511			DNA replication protein DnaD	DNA replication protein DnaD
	3512			DNA replication terminus site-binding protein	DNA replication terminus site-binding protein
	3513		@	DNA replication/repair protein RecF	DNA replication and repair protein F
	3514		@	DNA replication/repair protein RecF	DNA replication and repair protein RecF
	3515			DNA replication/repair protein RecF	DNA replication/repair protein RecF
	3516			DNA topoisomerase	DNA topoisomerase
	3517		@	DNA topoisomerase	topoisomerase
	3518			DNA topoisomerase I	DNA topoisomerase I
	3519			DNA topoisomerase III	DNA topoisomerase III
	3520			DNA topoisomerase IV subunit A	DNA topoisomerase IV subunit A
	3521		@	DNA topoisomerase IV subunit A	DNA topoisomerase ＩV subunit A
	3522		@	DNA topoisomerase IV subunit A	topoisomerase IV subunit A
	3523			DNA topoisomerase IV subunit B	DNA topoisomerase IV subunit B
	3524		@	DNA topoisomerase IV subunit B	DNA topoisomerase ＩV subunit B
	3525		@	DNA topoisomerase IV subunit B	topoisomerase IV subunit B
	3526			DNA topoisomerase VI subunit A	DNA topoisomerase VI subunit A
	3527		@	DNA topoisomerase VI subunit A	type II DNA topoisomerase VI subunit A
	3528			DNA topoisomerase VI subunit B	DNA topoisomerase VI subunit B
	3529		@	DNA topoisomerase VI subunit B	type II DNA topoisomerase VI subunit B
	3530			DNA translocase	DNA translocase
	3531		@	DNA translocase FtsK	cell division protein FtsK
	3532			DNA translocase FtsK	DNA translocase FtsK
	3533			DNA utilization protein HofM	DNA utilization protein HofM
	3534			DNA utilization protein HofN	DNA utilization protein HofN
	3535			DNA utilization protein HofO	DNA utilization protein HofO
	3536			DNA utilization protein HofP	DNA utilization protein HofP
	3537			DNA utilization protein HofQ	DNA utilization protein HofQ
	3538		@	DnaA protein homolog	bacterial DnaA family protein
	3539		@	DnaA protein homolog	DnaA homolog
	3540			DnaA protein homolog	DnaA protein homolog
	3541		@	DnaA protein homolog Had	DnaA-homolog protein Had
	3542		@	DnaA-binding protein DiaA	DnaA initiator-associating protein DiaA
	3543		@	DNA-binding protein	DNA binding protein
	3544			DNA-binding protein	DNA-binding protein
	3545		@	DNA-binding protein	DNA-binding rotein
	3546			DNA-binding protein 10a	DNA-binding protein 10a
	3547			DNA-binding protein 7d	DNA-binding protein 7d
	3548		@	DNA-binding protein Alba	DNA/RNA-binding protein Alba
	3549			DNA-binding protein Alba	DNA-binding protein Alba
	3550			DNA-binding protein Alba 2	DNA-binding protein Alba 2
	3551			DNA-binding protein Dps	DNA-binding protein Dps
	3552			DNA-binding protein Fis	DNA-binding protein Fis
	3553			DNA-binding protein H-NS	DNA-binding protein H-NS
	3554			DNA-binding protein HU	DNA-binding protein HU
	3555			DNA-binding protein HU-alpha	DNA-binding protein HU-alpha
	3556			DNA-binding protein HU-beta	DNA-binding protein HU-beta
	3557		@	DNA-binding protein HupN	DNA-binding protein HU-beta HupN
	3558			DNA-binding protein Sto12a	DNA-binding protein Sto12a
	3559			DNA-binding protein StpA	DNA-binding protein StpA
	3560			DNA-binding protein TnpT	DNA-binding protein TnpT
	3561			DNA-dependent ATPase XPBII	DNA-dependent ATPase XPBII
	3562		@	DNA-directed RNA polymerase alpha subunit	DNA-directed RNA polymerase alpha chain
	3563			DNA-directed RNA polymerase alpha subunit	DNA-directed RNA polymerase alpha subunit
	3564		@	DNA-directed RNA polymerase alpha subunit	DNA-directed RNA polymerase subunit alpha
	3565		@	DNA-directed RNA polymerase beta subunit	DNA-directed RNA polymerase beta chain
	3566			DNA-directed RNA polymerase beta subunit	DNA-directed RNA polymerase beta subunit
	3567		@	DNA-directed RNA polymerase beta subunit	DNA-directed RNA polymerase subunit beta
	3568		@	DNA-directed RNA polymerase beta' subunit	DNA-directed RNA polymerase beta' chain
	3569			DNA-directed RNA polymerase beta' subunit	DNA-directed RNA polymerase beta' subunit
	3570		@	DNA-directed RNA polymerase beta' subunit	DNA-directed RNA polymerase subunit beta'
	3571		@	DNA-directed RNA polymerase delta subunit	DNA-directed RNA polymerase delta chain
	3572		@	DNA-directed RNA polymerase omega subunit	DNA-directed RNA polymerase omega chain
	3573			DNA-directed RNA polymerase omega subunit	DNA-directed RNA polymerase omega subunit
	3574		@	DNA-directed RNA polymerase omega subunit	DNA-directed RNA polymerase subunit omega
	3575		@	DNA-directed RNA polymerase omega subunit	RNA polymerase omega subunit
	3576			DNA-directed RNA polymerase subunit 13	DNA-directed RNA polymerase subunit 13
	3577			DNA-directed RNA polymerase subunit A	DNA-directed RNA polymerase subunit A
	3578			DNA-directed RNA polymerase subunit A'	DNA-directed RNA polymerase subunit A'
	3579			DNA-directed RNA polymerase subunit A''	DNA-directed RNA polymerase subunit A''
	3580			DNA-directed RNA polymerase subunit B	DNA-directed RNA polymerase subunit B
	3581			DNA-directed RNA polymerase subunit B'	DNA-directed RNA polymerase subunit B'
	3582			DNA-directed RNA polymerase subunit B''	DNA-directed RNA polymerase subunit B''
	3583			DNA-directed RNA polymerase subunit D	DNA-directed RNA polymerase subunit D
	3584			DNA-directed RNA polymerase subunit E	DNA-directed RNA polymerase subunit E
	3585			DNA-directed RNA polymerase subunit E'	DNA-directed RNA polymerase subunit E'
	3586			DNA-directed RNA polymerase subunit E''	DNA-directed RNA polymerase subunit E''
	3587			DNA-directed RNA polymerase subunit F	DNA-directed RNA polymerase subunit F
	3588			DNA-directed RNA polymerase subunit G	DNA-directed RNA polymerase subunit G
	3589			DNA-directed RNA polymerase subunit H	DNA-directed RNA polymerase subunit H
	3590			DNA-directed RNA polymerase subunit K	DNA-directed RNA polymerase subunit K
	3591			DNA-directed RNA polymerase subunit L	DNA-directed RNA polymerase subunit L
	3592			DNA-directed RNA polymerase subunit N	DNA-directed RNA polymerase subunit N
	3593			DNA-directed RNA polymerase subunit P	DNA-directed RNA polymerase subunit P
	3594			DNA-invertase	DNA-invertase
	3595			DnaJ family protein	DnaJ family protein
	3596		@	DnaJ family protein	heat shock protein DnaJ family protein
	3597		@	DnaJ-like protein	DnaJ-class molecular chaperone
	3598			DnaJ-like protein	DnaJ-like protein
	3599			DnaJ-like protein DjlA	DnaJ-like protein DjlA
	3600			DnaJ-like protein DjlB	DnaJ-like protein DjlB
	3601			DnaJ-like protein DjlC	DnaJ-like protein DjlC
	3602			DnaQ exonuclease/DinG helicase family protein	DnaQ exonuclease/DinG helicase family protein
	3603			dNTP triphosphohydrolase	dNTP triphosphohydrolase
	3604			dolichol-phosphate mannosyltransferase	dolichol-phosphate mannosyltransferase
	3605			dolicholpyrophosphatase	dolicholpyrophosphatase
	3606			dolichyl-phosphate beta-glucosyltransferase	dolichyl-phosphate beta-glucosyltransferase
	3607			D-phenylhydantoinase	D-phenylhydantoinase
	3608			D-proline dehydrogenase	D-proline dehydrogenase
	3609		@	D-proline reductase subunit alpha/beta	D-proline reductase proprotein PrdA
	3610		@	D-proline reductase subunit alpha/beta	"D-proline reductase, 45 kDa subunit / D-proline reductase, 23 kDa subunit"
	3611		@	D-proline reductase subunit gamma	D-proline reductase gamma subunit
	3612			D-proline reductase subunit gamma	D-proline reductase subunit gamma
	3613		@	D-proline reductase subunit gamma	"D-proline reductase, 26 kDa subunit"
	3614			D-ribose pyranase	D-ribose pyranase
	3615		@	D-ribose pyranase	high affinity ribose transport protein RbsD
	3616		@	D-ribose pyranase	ribose transport protein RbsD
	3617		@	drug ABC transporter ATP-binding protein	drug efflux ABC transporter ATP-binding protein
	3618		@	drug ABC transporter permease protein	drug efflux ABC transporter permease protein
	3619		@	drug efflux pump	drug efflux protein
	3620		@	drug efflux pump	drug resistance efflux protein
	3621			drug resistance protein	drug resistance protein
	3622		@	drug transporter	drug resistance transporter
	3623			DSBA oxidoreductase family protein	DSBA oxidoreductase family protein
	3624			D-serine dehydratase	D-serine dehydratase
	3625			D-serine/D-alanine/glycine transporter	D-serine/D-alanine/glycine transporter
	3626			DsrB protein	DsrB protein
	3627		@	DsrB protein	Protein DsrB
	3628			DsrE family protein	DsrE family protein
	3629			D-stereospecific endopeptidase	D-stereospecific endopeptidase
	3630			"dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase"	"dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase"
	3631		@	"dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase"	"dTDP-4-dehydrorhamnose 3,5-epimerase"
	3632		@	"dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase"	"dTDP-4-dehydrorhamnose 3,5-epimerase (RmlC)"
	3633		@	"dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase"	"dTDP-6-deoxy-D-xylo-4-hexulose 3,5-epimerase"
	3634		@	"dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase/dTDP-4-dehydrorhamnose reductase"	"dTDP-6-deoxy-D-xylo-4-hexulose 3,5-epimerase/dTDP-6-deoxy-L-lyxo-4-hexulose reductase"
	3635			dTDP-4-dehydrorhamnose reductase	dTDP-4-dehydrorhamnose reductase
	3636		@	dTDP-4-dehydrorhamnose reductase	dTDP-4-dehydrorhamnose reductase (RmlD)
	3637		@	dTDP-4-dehydrorhamnose reductase	dTDP-4-keto-L-rhamnose reductase
	3638		@	dTDP-4-dehydrorhamnose reductase	dTDP-6-deoxy-L-lyxo-4-hexulose reductase
	3639			"dTDP-glucose 4,6-dehydratase"	"dTDP-glucose 4,6-dehydratase"
	3640		@	"dTDP-glucose 4,6-dehydratase"	"dTDP-glucose 4,6-dehydratase (RmlB)"
	3641			"dTDP-glucose 4,6-dehydratase RfbB"	"dTDP-glucose 4,6-dehydratase RfbB"
	3642			"dTDP-glucose 4,6-dehydratase RffG"	"dTDP-glucose 4,6-dehydratase RffG"
	3643			DtxR family transcriptional regulator	DtxR family transcriptional regulator
	3644		@	DtxR family transcriptional regulator	"transcriptional regulator, DtxR family"
	3645			DtxR family transcriptional regulator MntR	DtxR family transcriptional regulator MntR
	3646		@	DtxR family transcriptional regulator MntR	transcriptional regulator MntR
	3647			D-tyrosyl-tRNA(Tyr) deacylase	D-tyrosyl-tRNA(Tyr) deacylase
	3648		@	D-tyrosyl-tRNA(Tyr) deacylase	D-Tyr-tRNA(Tyr) deacylase
	3649		@	D-tyrosyl-tRNA(Tyr) deacylase	D-tyr-tRNAtyr deacylase
	3650			D-tyrosyl-tRNA(Tyr) deacylase/cell division protein FtsZ homolog	D-tyrosyl-tRNA(Tyr) deacylase/cell division protein FtsZ homolog
	3651			dual sugar-1-phosphate nucleotidylyltransferase	dual sugar-1-phosphate nucleotidylyltransferase
	3652		@	dUTP diphosphatase	deoxyuridine 5'-triphosphate nucleotidohydrolase
	3653			dUTP diphosphatase	dUTP diphosphatase
	3654		@	dUTP diphosphatase	dUTP diphosphatase (dUTPase)
	3655			D-xylose ABC transporter ATP-binding protein	D-xylose ABC transporter ATP-binding protein
	3656			D-xylose ABC transporter permease protein	D-xylose ABC transporter permease protein
	3657		@	D-xylose ABC transporter substrate-binding protein	D-xylose ABC transporter substrate binding protein
	3658		@	D-xylose ABC transporter substrate-binding protein	D-xylose ABC transporter substrate binding protein precursor
	3659			D-xylose ABC transporter substrate-binding protein	D-xylose ABC transporter substrate-binding protein
	3660			D-xylose/proton symporter	D-xylose/proton symporter
	3661			dye-linked L-proline dehydrogenase alpha subunit	dye-linked L-proline dehydrogenase alpha subunit
	3662			dye-linked L-proline dehydrogenase alpha1 subunit	dye-linked L-proline dehydrogenase alpha1 subunit
	3663			dye-linked L-proline dehydrogenase alpha2 subunit	dye-linked L-proline dehydrogenase alpha2 subunit
	3664			dye-linked L-proline dehydrogenase beta subunit	dye-linked L-proline dehydrogenase beta subunit
	3665			dye-linked L-proline dehydrogenase beta1 subunit	dye-linked L-proline dehydrogenase beta1 subunit
	3666			dye-linked L-proline dehydrogenase beta2 subunit	dye-linked L-proline dehydrogenase beta2 subunit
	3667			dye-linked L-proline dehydrogenase delta subunit	dye-linked L-proline dehydrogenase delta subunit
	3668			dye-linked L-proline dehydrogenase delta2 subunit	dye-linked L-proline dehydrogenase delta2 subunit
	3669			dye-linked L-proline dehydrogenase gamma subunit	dye-linked L-proline dehydrogenase gamma subunit
	3670			dye-linked L-proline dehydrogenase gamma2 subunit	dye-linked L-proline dehydrogenase gamma2 subunit
	3671		@	dynein light chain-related family protein	roadblock/LC7 family protein
	3672		@	DyP-type peroxidase family protein	Dyp-type peroxidase family protein
	3673		@	ebg operon transcriptional repressor EbgR	ebg operon transcriptional repressor
	3674			ECA polysaccharide polymerase	ECA polysaccharide polymerase
	3675		@	ECF-type sigma factor family protein	"sigma factor, ECF-like family protein"
	3676			Ech hydrogenase subunit A	Ech hydrogenase subunit A
	3677			Ech hydrogenase subunit B	Ech hydrogenase subunit B
	3678			Ech hydrogenase subunit C	Ech hydrogenase subunit C
	3679			Ech hydrogenase subunit D	Ech hydrogenase subunit D
	3680			Ech hydrogenase subunit E	Ech hydrogenase subunit E
	3681			Ech hydrogenase subunit F	Ech hydrogenase subunit F
	3682			ecotin	ecotin
	3683			ectoine hydroxylase	ectoine hydroxylase
	3684			ectoine synthase	ectoine synthase
	3685		@	effector protein HopJ	type III effector HopPmaJ
	3686		@	efflux pump membrane fusion protein	efflux system inner membrane protein
	3687		@	efflux pump membrane fusion protein	efflux system periplasmic linker protein
	3688		@	efflux pump outer membrane protein	efflux system outer membrane protein
	3689			ElaB protein	ElaB protein
	3690		@	ElaB protein	Protein ElaB
	3691			electron transfer flavoprotein	electron transfer flavoprotein
	3692			electron transfer flavoprotein alpha subunit	electron transfer flavoprotein alpha subunit
	3693		@	electron transfer flavoprotein alpha subunit	electron transfer flavoprotein alpha-subunit
	3694		@	electron transfer flavoprotein alpha subunit	electron transfer flavoprotein subunit alpha
	3695			electron transfer flavoprotein beta subunit	electron transfer flavoprotein beta subunit
	3696		@	electron transfer flavoprotein beta subunit	electron transfer flavoprotein beta-subunit
	3697		@	electron transfer flavoprotein beta subunit	electron transfer flavoprotein subunit beta
	3698			electron transfer flavoprotein subunit YdiQ	electron transfer flavoprotein subunit YdiQ
	3699			electron transfer flavoprotein subunit YdiR	electron transfer flavoprotein subunit YdiR
	3700			electron transfer flavoprotein subunit YgcQ	electron transfer flavoprotein subunit YgcQ
	3701			electron transfer flavoprotein subunit YgcR	electron transfer flavoprotein subunit YgcR
	3702			electron transfer flavoprotein-quinone oxidoreductase	electron transfer flavoprotein-quinone oxidoreductase
	3703		@	electron transfer flavoprotein-quinone oxidoreductase	electron-transferring-flavoprotein dehydrogenase
	3704			electron transfer flavoprotein-quinone oxidoreductase YdiS	electron transfer flavoprotein-quinone oxidoreductase YdiS
	3705			electron transfer flavoprotein-quinone oxidoreductase YgcN	electron transfer flavoprotein-quinone oxidoreductase YgcN
	3706			electron transfer flavoprotein-ubiquinone oxidoreductase	electron transfer flavoprotein-ubiquinone oxidoreductase
	3707			electron transport complex protein RnfA	electron transport complex protein RnfA
	3708			electron transport complex protein RnfB	electron transport complex protein RnfB
	3709			electron transport complex protein RnfC	electron transport complex protein RnfC
	3710			electron transport complex protein RnfD	electron transport complex protein RnfD
	3711			electron transport complex protein RnfE	electron transport complex protein RnfE
	3712			electron transport complex protein RnfG	electron transport complex protein RnfG
	3713			electron transport protein	electron transport protein
	3714			electron transport protein HydN	electron transport protein HydN
	3715			electron transport protein YccM	electron transport protein YccM
	3716			electron transport protein YgfS	electron transport protein YgfS
	3717			electron transport protein YkgF	electron transport protein YkgF
	3718			electron transport protein YsaA	electron transport protein YsaA
	3719		@	elongation factor 1-alpha	elongation factor 1 alpha
	3720			elongation factor 1-alpha	elongation factor 1-alpha
	3721		@	elongation factor 1-alpha	elongation factor 1-alpha (EF-Tu)
	3722		@	elongation factor 1-beta	elongation factor 1 beta
	3723			elongation factor 1-beta	elongation factor 1-beta
	3724		@	elongation factor 1-beta	elongation factor 1-beta (EF-1-beta)
	3725			elongation factor 2	elongation factor 2
	3726			elongation factor 4	elongation factor 4
	3727		@	elongation factor 4	elongation factor LepA
	3728			elongation factor G	elongation factor G
	3729			elongation factor P	elongation factor P
	3730			elongation factor P-like protein YeiP	elongation factor P-like protein YeiP
	3731			elongation factor Ts	elongation factor Ts
	3732			elongation factor Tu	elongation factor Tu
	3733			elongation factor Tu 1	elongation factor Tu 1
	3734			elongation factor Tu 2	elongation factor Tu 2
	3735			emrAB operon transcriptional repressor MprA	emrAB operon transcriptional repressor MprA
	3736		@	emrAB operon transcriptional repressor MprA	transcriptional repressor MprA
	3737		@	"endo-1,3-beta-glucanase"	"endo-beta-1,3-glucanase"
	3738		@	"endo-1,3-beta-glucanase"	"endo-beta-1,3-glucanase precursor"
	3739			"endo-1,4-beta-glucanase"	"endo-1,4-beta-glucanase"
	3740		@	"endo-1,4-beta-glucanase"	"endo-1,4-beta-glucanase precursor"
	3741			"endo-1,4-beta-xylanase"	"endo-1,4-beta-xylanase"
	3742		@	"endo-1,4-beta-xylanase"	"endo-1,4-beta-xylanase precursor"
	3743			"endo-1,4-beta-xylanase A"	"endo-1,4-beta-xylanase A"
	3744		@	"endo-1,4-beta-xylanase A"	"endo-1,4-beta-xylanase A precursor"
	3745			"endo-1,4-beta-xylanase B"	"endo-1,4-beta-xylanase B"
	3746		@	"endo-1,4-beta-xylanase B"	"endo-1,4-beta-xylanase B precursor"
	3747		@	"endo-1,5-alpha-L-arabinanase"	"arabinan endo-1,5-alpha-L-arabinosidase"
	3748			"endo-1,5-alpha-L-arabinanase"	"endo-1,5-alpha-L-arabinanase"
	3749		@	"endo-1,5-alpha-L-arabinanase"	endo-alpha-(1->5)-L-arabinanase
	3750			"endo-beta-1,4-glucanase"	"endo-beta-1,4-glucanase"
	3751			endochitinase	endochitinase
	3752			endoglucanase	endoglucanase
	3753		@	endoglucanase	endoglucanase precursor
	3754			endoglucanase BcsG	endoglucanase BcsG
	3755			endoglycoceramidase	endoglycoceramidase
	3756			endonuclease	endonuclease
	3757			endonuclease Bax1	endonuclease Bax1
	3758			endonuclease I	endonuclease I
	3759			endonuclease III	endonuclease III
	3760		@	endonuclease III	endonuclease III (DNA-(apurinic or apyrimidinic site) lyase)
	3761			endonuclease IV	endonuclease IV
	3762			"endonuclease IV"	"endonuclease IV"
	3763			endonuclease PhoI	endonuclease PhoI
	3764			endonuclease V	endonuclease V
	3765		@	endonuclease VIII	DNA glycosylase/AP lyase Nei
	3766			endonuclease VIII	endonuclease VIII
	3767			endopeptidase	endopeptidase
	3768			endopeptidase O	endopeptidase O
	3769			endoribonuclease	endoribonuclease
	3770			enolase	enolase
	3771		@	enolase	enolase (2-phosphoglycerate dehydratase)
	3772			enolase-phosphatase E1	enolase-phosphatase E1
	3773			enoyl-[acyl-carrier-protein] reductase	enoyl-[acyl-carrier-protein] reductase
	3774		@	enoyl-[acyl-carrier-protein] reductase	enoyl-[acyl-carrier-protein] reductase (NADH)
	3775		@	enoyl-[acyl-carrier-protein] reductase	enoyl-[acyl-carrier-protein] reductase [NADH]
	3776			enoyl-[acyl-carrier-protein] reductase FabI	enoyl-[acyl-carrier-protein] reductase FabI
	3777			enoyl-CoA hydratase	enoyl-CoA hydratase
	3778			enoyl-CoA hydratase DcaE	enoyl-CoA hydratase DcaE
	3779			enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydratase	enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydratase
	3780			enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase	enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase
	3781			enoyl-CoA hydratase/isomerase family protein	enoyl-CoA hydratase/isomerase family protein
	3782			enoyl-CoA hydratase/lyase	enoyl-CoA hydratase/lyase
	3783			enoyl-CoA isomerase	enoyl-CoA isomerase
	3784			enoyl-CoA reductase	enoyl-CoA reductase
	3785			entericidin A	entericidin A
	3786			entericidin B	entericidin B
	3787			enterobactin exporter EntS	enterobactin exporter EntS
	3788			enterobactin synthase component E	enterobactin synthase component E
	3789			enterobactin synthase component F	enterobactin synthase component F
	3790		@	enterobactin synthase component F	enterobactin synthetase component F
	3791			enterochelin esterase	enterochelin esterase
	3792			epimerase	epimerase
	3793			epimerase KguE	epimerase KguE
	3794			epoxidase	epoxidase
	3795			epoxide hydrolase	epoxide hydrolase
	3796			epoxyqueuosine reductase	epoxyqueuosine reductase
	3797			error-prone DNA polymerase	error-prone DNA polymerase
	3798			erythritol kinase	erythritol kinase
	3799			erythronate-4-phosphate dehydrogenase	erythronate-4-phosphate dehydrogenase
	3800			esterase	esterase
	3801			esterase AreA	esterase AreA
	3802			esterase EstP	esterase EstP
	3803			esterase family protein	esterase family protein
	3804			esterase FrsA	esterase FrsA
	3805			esterase YbfF	esterase YbfF
	3806			esterase YdiI	esterase YdiI
	3807			esterase YheT	esterase YheT
	3808			esterase YjfP	esterase YjfP
	3809			esterase YpfH	esterase YpfH
	3810			esterase YqiA	esterase YqiA
	3811		@	ethanolamine ammonia-lyase large subunit	ethanolamine ammonia lyase heavy chain
	3812		@	ethanolamine ammonia-lyase large subunit	ethanolamine ammonia-lyase heavy chain
	3813			ethanolamine ammonia-lyase large subunit	ethanolamine ammonia-lyase large subunit
	3814			ethanolamine ammonia-lyase reactivating factor	ethanolamine ammonia-lyase reactivating factor
	3815		@	ethanolamine ammonia-lyase reactivating factor	ethanolamine utilization protein EutA
	3816		@	ethanolamine ammonia-lyase small subunit	ethanolamine ammonia-lyase light chain
	3817			ethanolamine ammonia-lyase small subunit	ethanolamine ammonia-lyase small subunit
	3818			ethanolamine permease	ethanolamine permease
	3819			ethanolamine utilization protein EutE	ethanolamine utilization protein EutE
	3820			ethanolamine utilization protein EutG	ethanolamine utilization protein EutG
	3821			ethanolamine utilization protein EutH	ethanolamine utilization protein EutH
	3822			ethanolamine utilization protein EutJ	ethanolamine utilization protein EutJ
	3823			ethanolamine utilization protein EutK	ethanolamine utilization protein EutK
	3824			ethanolamine utilization protein EutL	ethanolamine utilization protein EutL
	3825			ethanolamine utilization protein EutM	ethanolamine utilization protein EutM
	3826			ethanolamine utilization protein EutN	ethanolamine utilization protein EutN
	3827			ethanolamine utilization protein EutP	ethanolamine utilization protein EutP
	3828		@	ethanolamine utilization protein EutQ	ethanolamine utilization EutQ
	3829			ethanolamine utilization protein EutQ	ethanolamine utilization protein EutQ
	3830			ethanolamine utilization protein EutS	ethanolamine utilization protein EutS
	3831			ethylmalonyl-CoA mutase	ethylmalonyl-CoA mutase
	3832		@	eut operon transcriptional activator EutR	eut operon transcriptional activator
	3833		@	evolved beta-galactosidase alpha subunit	evolved beta-galactosidase subunit alpha
	3834		@	evolved beta-galactosidase beta subunit	evolved beta-galactosidase subunit beta
	3835		@	ExbD/TolR family membrane protein	biopolymer transport protein ExbD/TolR
	3836		@	ExbD/TolR family membrane protein	biopolymer transport protein ExbD/TolR family protein
	3837		@	ExbD/TolR family membrane protein	biopolymer transport protein TolR/ExbD
	3838		@	ExbD/TolR family membrane protein	ExbD/TolR family protein
	3839			excinuclease Cho	excinuclease Cho
	3840		@	excision nuclease subunit A	excinuclease ABC subunit A
	3841		@	excision nuclease subunit A	UvrABC system protein A
	3842		@	excision nuclease subunit B	excinuclease ABC subunit B
	3843		@	excision nuclease subunit B	UvrABC system protein B
	3844		@	excision nuclease subunit C	excinuclease ABC subunit C
	3845		@	excision nuclease subunit C	UvrABC system protein C
	3846			exo-beta-D-glucosaminidase	exo-beta-D-glucosaminidase
	3847			exodeoxyribonuclease	exodeoxyribonuclease
	3848			exodeoxyribonuclease I	exodeoxyribonuclease I
